date,temp_sensor_1,humidity,pressure,temp_sensor_2,temp_sensor_water,dev_id,lon,lat,version,install_date
24.11.2025 23:41:23,19.3,40.5,984.6,20.3,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
24.11.2025 23:42:04,19.4,40.4,984.7,20.3,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
24.11.2025 23:44:09,19.7,40.1,984.7,20.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
24.11.2025 23:46:08,19.8,40.2,984.8,20.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
24.11.2025 23:48:59,20,39.7,984.9,21,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
24.11.2025 23:51:50,20.3,39.1,984.8,21,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
24.11.2025 23:54:42,20.6,38.5,984.9,21.2,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
24.11.2025 23:57:33,21,40.1,985.2,22,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:00:25,21.6,41.8,985.1,22.2,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:03:16,21.9,42.4,985.2,23,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:06:07,22.1,40.7,985.1,23,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:08:59,22,37.9,985.1,23,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:11:50,21.9,36.3,985.1,22.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:14:42,21.8,35.3,985.1,22.2,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:17:33,21.6,34.9,985.1,21.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:23:16,21.1,34.3,985.2,21.2,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:26:07,20.8,34.1,985.3,20.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:28:59,20.5,34.2,985.3,20.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:31:50,20.3,34.2,985.4,20.3,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:34:42,20,34.4,985.4,19.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:37:33,19.8,34.5,985.5,19.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:40:24,19.5,34.7,985.6,19.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:43:16,19.3,34.8,985.7,19.3,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:46:07,19.1,35,985.7,19,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:48:59,18.9,35.2,985.8,18.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:51:50,18.7,35.4,985.8,18.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:54:41,18.5,35.5,985.9,18.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 00:57:33,18.3,35.7,985.9,18.3,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:00:24,18.1,36,985.9,18,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:03:15,17.9,36.1,986.1,17.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:06:07,17.7,36.2,986,17.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:08:58,17.6,36.4,986.1,17.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:11:50,17.4,36.6,986.1,17.2,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:14:41,17.2,36.8,986.1,17,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:17:32,17.1,37,986.1,17,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:20:24,17,37.1,986.2,16.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:23:15,16.8,37.3,986.3,16.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:26:06,16.7,37.4,986.3,16.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:28:58,16.6,37.5,986.3,16.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:31:49,16.4,37.6,986.3,16.3,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:34:41,16.3,37.7,986.4,16,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:37:32,16.2,37.7,986.4,16,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:40:23,16.1,37.8,986.4,15.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:43:15,16,37.9,986.5,15.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:46:06,15.9,37.9,986.6,15.8,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:48:57,15.8,37.9,986.7,15.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:51:49,15.7,38,986.6,15.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:54:40,15.6,38,986.7,15.3,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 01:57:31,15.5,38,986.7,15.3,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 02:00:23,15.4,38.1,986.7,15.3,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 02:03:14,15.3,38.1,986.8,15.3,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 02:06:05,15.2,38.2,986.8,15,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 02:08:57,15.1,38.2,986.9,14.7,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 02:11:48,15,38.3,986.9,14.7,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 02:14:40,14.9,38.3,986.9,14.7,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 02:17:31,14.9,38.4,987,14.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 02:20:22,14.8,38.5,987,14.7,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 02:23:14,14.7,38.5,987.1,14.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
25.11.2025 02:26:05,14.6,38.5,987.1,14.5,36.6,7001,56.065226,36.234294,1.0.0,01.12.2025
